,Vol Cap 10.0%,Vol Cap 20.0%,Weight Cap 10.0%,Weight Cap 20.0%,Weight Cap 30.0%,Base Case (Max Sharpe),Min Volatility
0154.KL,0.005338760260564908,0.012035864495726923,0.014611364487899013,0.013956906461344688,0.014494873729646793,0.014492883591249664,0.0001737614599907586
0036.KL,0.005507141851559993,0.013038672818581789,0.016355062119919245,0.015322250532559473,0.015886179097350968,0.015880793883017184,8.912543551556463e-18
0150.KL,0.005807100339395622,0.01328713825139863,0.016234821318722434,0.01547299452496077,0.016090315650010362,0.016091735128386117,0.000100849902902965
0094.KL,0.004879114696403602,0.010878406001995094,0.013776057982894774,0.012725334683129304,0.013161759376199799,0.01316163429091487,1.4175305389736814e-17
0066.KL,0.006575159929513878,0.014523352905160967,0.01773477688842924,0.01684086239739792,0.017436438430668354,0.01743847746513504,0.000447451842901906
0096.KL,0.006167448612057185,0.013754343398998508,0.017033013598594174,0.016030307443592177,0.016575661677552304,0.016568977346570556,0.00044552863145098383
0116.KL,0.004153335879749083,0.011959620243764733,0.01458513059535324,0.014042509658226695,0.014550748987311197,0.014552233124207168,4.7170199707547185e-17
0187.KL,0.006307381508855058,0.010957709350770947,0.013801371058298493,0.012579759199545962,0.012644296805696535,0.012640152734920834,0.0026226151017621543
0072.KL,0.005010493265952191,0.011730431009616942,0.01488635998101933,0.013804736520366925,0.014258487552617998,0.014250861857959558,1.3603368102641484e-17
0109.KL,0.00597839346496466,0.01320567239256438,0.016989990235852733,0.015583228854962074,0.016025178317641768,0.01601382547476583,0.0002875157778155462
0376.KL,0.16616259655627072,0.14792498100124546,0.09999999999999765,0.12916947928285097,0.08796115433499258,0.08791693422730215,0.17451585104120082
0165.KL,0.004030696025168998,0.009451417544439695,0.011256025918812201,0.010962840238671813,0.011473741677952327,0.011469827709302747,1.2642008354829663e-17
0107.KL,0.005982783997376738,0.013479821943907911,0.016924822809159794,0.015774726737693274,0.016319116847452384,0.01632497811197456,0.00021938942093999668
0152.KL,0.002119270263090754,0.004893028924066113,0.005285181775621128,0.005527893204159377,0.005833003895364087,0.005834203216173095,5.2988857193251275e-18
0085.KL,0.0031472286656381385,0.007312867460362802,0.008720734747348836,0.008466241120472843,0.008756639326002402,0.008755744118863885,5.6029945536830515e-05
0070.KL,0.002172754945835759,0.006035367755041706,0.007703969429216467,0.007203331890027671,0.00754647238339269,0.007546580268229916,2.0721246731275023e-17
0074.KL,0.0033246970206216053,0.007224174326886157,0.009820054329171563,0.008579117703189868,0.008676650238180022,0.008678168736061235,0.00019414042298984902
0103.KL,0.0030333256761901177,0.0062192641193384605,0.00814572944675184,0.007262922463207027,0.007427775177504178,0.007436659386726057,0.0006111345270186967
0140.KL,0.0035561429079484065,0.007105258587109144,0.009936674932448625,0.008472389962463663,0.008501239054257427,0.008505604903346757,0.0008393067433186135
0018.KL,0.0,0.0,1.869541042332524e-16,1.6663120634749232e-16,0.0,1.8300361424889273e-16,0.00021270474026762612
0169.KL,0.0022118244434120465,0.00415111031106377,0.005816799412451759,0.004898084179921357,0.004825649753792563,0.004817527696660684,0.0004174686080682215
0177.KL,0.00034357748994936674,0.0013268949690374923,0.0015375860953381784,0.0015406897908498798,0.001607065209183806,0.0015929942164344664,9.899373011313385e-18
0034.KL,0.0015276685175263512,0.002340741810685563,0.0028413979368650693,0.002601154115714822,0.0026463646277803867,0.002646466408995019,0.0006703569173122866
0020.KL,0.0,0.0,1.14053015231905e-16,9.363666884677566e-18,1.0769655255792112e-16,1.7962615700702186e-16,1.3773233419602037e-17
0372.KL,0.24214585933603672,0.00144548066748415,0.09464675405124084,4.6428167890881485e-17,2.705267293232579e-17,1.561687063033248e-17,0.40900034871381763
0079.KL,0.0006867577320722954,0.0022736463610132833,0.0009946021072554337,0.002183636533571341,0.0023844134792403997,0.0023889018748356936,6.934229110159322e-18
0366.KL,0.0606259726762014,0.012074079229118911,0.04221215821322243,3.1474476077084085e-17,0.0,8.054932759037772e-17,0.0920883171242524
0133.KL,0.0006992483182257009,0.0012111389628252916,0.00214875546396219,0.0014709940704336502,0.0013801909401868772,0.0013763754133607118,0.0002997250817527896
0017.KL,0.0,0.0,2.2373751600039994e-16,4.2385356231740456e-16,2.901373048485607e-17,4.282226475457431e-16,0.0002467037665029856
0295.KL,0.04935206660433015,0.07875383065540133,0.09930713947345035,0.08571357469240098,0.08343722622019355,0.08332903746841214,0.02545227323913198
0318.KL,0.17793662966906829,0.22071839853376798,0.09999999999999873,0.19999999999999873,0.21043065379917458,0.21055187841766368,0.13947807179828067
0092.KL,0.0,0.0,1.776624922630164e-15,2.128046791751951e-15,0.0,2.1472078780998392e-15,1.0956786529272659e-17
0068.KL,0.0021814206734509533,0.003321910674486614,0.0032379525156535625,0.0034538857784077418,0.003522712817340656,0.0035332951285291293,0.0009096803334975523
0117.KL,0.0007246141990834153,0.0016116601226077948,0.0047483667127921,0.0024177541533899026,0.001953771707101948,0.0019604226504509625,3.2387440479684677e-18
0245.KL,0.02721937211369386,0.06382216735299782,0.08462367400319418,0.07472990345133435,0.07521938793936751,0.07520886288035639,8.342915563417955e-18
0293.KL,0.021186458377637028,0.015456270544712145,0.034176966764832846,0.013710168732292548,0.005725667298060033,0.005751630370922934,0.019545116828984722
0292.KL,0.0,0.0,3.263431651805284e-16,2.845145811930686e-16,0.0,2.485092117937299e-16,9.135223799656171e-18
0145.KL,0.005665700083398479,0.012704863873328259,0.01659987625492657,0.01470517728472157,0.014866730217490067,0.014868966650602635,6.288884825517304e-05
0022.KL,0.005028746384814477,0.008538435797170356,0.009147943985437324,0.009217897665110717,0.009423825484836315,0.009438860949472053,0.0018221686008588265
0173.KL,0.0,0.0,1.0430578760053412e-16,1.8380237176817407e-16,2.439446118809225e-17,1.3031557478263583e-16,0.0006621300172023646
0069.KL,0.00109246547402856,0.001764333718635618,0.0027554238923082996,0.0020386649446708315,0.001868351416524643,0.0018684458831514869,0.0007773155625044263
0048.KL,0.00012090159229399185,0.0,5.728348858214643e-17,1.9566704078847338e-17,4.994815638945761e-17,1.5676254278989113e-17,0.0005229363177781111
0351.KL,0.09729793950356948,0.20384290439590538,0.09999999999999867,0.19999999999999868,0.23360126901944506,0.23363853690815448,0.012621762489532852
0343.KL,0.007889885617194623,0.0,0.02282402183910331,4.594157989081107e-17,1.1450836622729768e-17,9.059701057334667e-17,0.003920437104956626
0167.KL,0.0,0.0,2.52498676677634e-16,2.512520732214665e-16,0.0,2.4378265001791366e-16,3.6269975053952174e-18
0325.KL,0.0,0.0,2.367367799221744e-16,5.225403262073606e-16,0.0,3.151652896108241e-16,0.002083336180525988
0338.KL,0.030184829722553857,0.0,3.893616619851712e-17,1.0857575825593985e-16,0.0,1.2995391278482494e-16,0.10256082471114741
0153.KL,0.0038736796557647143,0.004781356976574251,0.005198840179738272,0.004816435397174219,0.004693402556533608,0.004691975519997928,0.003369249012043935
0335.KL,0.01134269581636996,0.024613087571278596,0.03150489678343913,0.02849506078769771,0.028793584953957056,0.028775545986891176,0.0009826950701775786
0038.KL,0.0014078601321775232,0.00023029494252667932,0.0018757026592751333,0.00022908554348550114,2.1759625039206953e-16,1.5854457411787473e-16,0.0017799141153188006
